Primeiro Nome	Sobrenomes	IMC
felipe	neves da hora	24.72
sandro  	barbosa	30.24
maycon	da silva ferreira	30.19
jeferson   	 Oliveira	26.14
manuel	gomes   vieira	19.46
 emanuel	 da silva	33.76
isis	 santanna  de  Deus	23.05
  maria	santana bezerra 	20.83
Alessandro 	 Viana 	20.76
sandro	barbosa	31.62
  Almir	 Valente  	27.12
Bruno	Santana  Filho	25.21
marta	santos oliveira 	21.48
michele	Santanna Da Silva	23.53
 Alex	Da  Silva  	22.81
Daniel	 Alexandre 	17.06
Manuella	 Pereira	23.93
   Matheus	  Silva	22.85
Giuderlan	 Antonio Neto	20.47
  Geisa	 Ferreira  Da  Silva	27.57
neymar 	josefino andrade	35.11
João	Michelango	63.29
Gabriela  	 Xavier Ferreira	20.07
Michelangelo	de La Siena	27.7
Ivanor	de Jesus  	26.19
Cienne  	Augusta Conceição	22.74
     Arthur 	  Santana	21.57
amaro	 Luiz	12.54
Alzenrau	 Silva	16.75
caio	sena	28.27
Romildo	 da Silva	29.75
Lindomar	Catillo	29.14
Felizberto	Felizmino da  Felicidade 	25.0
   Caroline	da  boa Mente	22.32
Bruna	Giuseppe	23.7
  Carlos	Magno	35.68
Adailton   	    Ferreira	21.87
Jandersson	Almeida  Santos	26.6
Joao	 Joaquim José da  Silva	27.45
Allan	Santana	22.24
Danielle	   Santos	20.99
Valdevino	  Soares	21.33
 Maria	 Silva pereira	10.05
Ivanorvilson	Alberto Lima	24.78
Camelia    	 Joselina 	63.49
medinchina	casais	32.23
Alcebíades	Augustino da Assunção	26.54
Masha 	  Alcântara	24.92
Livia	  Duarte  	25.71
Romerson	Simpson Silva	29.42
  Mirelle 	da Fonseca Filha	22.82
 Sregio	 carvalho	9.8
Filadélfio	 Alfrônio	25.83
   Marcos	   Silva	24.27
Afreim	isotopo	34.6
 Agatha	   barreto  Da  Silva	19.13
Emmanoel	Junior	30.39
 Eliza 	  Trindade	24.41
Aminoã	       gabriela ferraz	17.88
Melissa	  fagundes	33.2
Dean	   Winchester	34.93
Liumar	 Santos Oliveira 	26.84
 Adalfreda	  da   silva Ferreira	20.52
   Jean	 Santos	17.88
anita 	oliveira 	0.0
   Jeane	 Santana	16.74
Pablo	Vittar	0.0
weliton	viana	23.46
quixote	de la mancha	24.93
Arthur	  Carvalho  jose	31.98
   Eliane	  Santos	22.22
Ezrael	Martins	19.47
  dulcinesia	del troboso	20.65
 leonardo	  oliveira  Castro	17.28
  Aldiran	Sousa	19.95
josefina	bezerra   oliveira	28.08
Pirlo	James Silva	31.9
caio	  correira  Silva	24.1
Gilmar	 de   Santana	30.85
Josefa   	  Serafina	23.67
Cameloro	CRISPIM	17.07
Policarpo	Quaresma	35.54
Baskara	 da Silva Ferrrrrreira	25.2
Fiuki	 Filho	21.95
Fátima   	  Bernardes	19.22
sergio 	malandro 	29.31
Theo	  Farias	30.7
Wallace	   Bonner	28.77
Yumi	Bachió	25.67
  emily	Souza   ribeiro	23.9
Whind	 Piauí	23.94
Alane	   Silva	17.34
Luana	 Lima  Ferreira	35.64
Inoswaldo	 Kamacho	57.69
Luna	Lunara Lua	20.23
hulk 	jose	24.65
maria	  gomes	23.85
paulo	 rocha	24.52
Luane                	 Santana   Teixeira	22.57
